mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__num-preprocessor__with_mean,param_columntransformer__num-preprocessor__with_std,param_logisticregression__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2576094150543213,0.025813447362921186,0.023937082290649413,0.005706463807970673,False,True,0.19478816317065484,"{'columntransformer__num-preprocessor__with_mean': False, 'columntransformer__num-preprocessor__with_std': True, 'logisticregression__C': 0.19478816317065484}",0.845957011258956,0.8551688843398157,0.8454452405322416,0.851510496671787,0.8397337429595494,0.8475630751524699,0.005325290176906246,68
0.3164480209350586,0.024953620522574,0.02731809616088867,0.007224786690467178,True,False,0.07182140840545796,"{'columntransformer__num-preprocessor__with_mean': True, 'columntransformer__num-preprocessor__with_std': False, 'logisticregression__C': 0.07182140840545796}",0.81985670419652,0.8439099283520982,0.8213920163766633,0.8243727598566308,0.8315412186379928,0.8282145254839811,0.008815571777956435,748
0.11044135093688964,0.017450473634519473,0.022550439834594725,0.0026661694882857633,False,True,0.0016858118177351343,"{'columntransformer__num-preprocessor__with_mean': False, 'columntransformer__num-preprocessor__with_std': True, 'logisticregression__C': 0.0016858118177351343}",0.7901740020470829,0.8055271238485159,0.7871033776867963,0.7946748591909882,0.799795186891961,0.7954549099330689,0.006611082443283176,974
0.28998360633850095,0.054630515523165044,0.02081918716430664,0.0025988014113288464,True,False,0.15614404327863327,"{'columntransformer__num-preprocessor__with_mean': True, 'columntransformer__num-preprocessor__with_std': False, 'logisticregression__C': 0.15614404327863327}",0.8372569089048106,0.8485158648925282,0.8219037871033776,0.8279569892473119,0.8305171530977983,0.8332301406491652,0.009091984822179615,606
0.2877236843109131,0.05517702476150168,0.023161983489990233,0.0033188474638612495,True,False,0.04871192839102861,"{'columntransformer__num-preprocessor__with_mean': True, 'columntransformer__num-preprocessor__with_std': False, 'logisticregression__C': 0.04871192839102861}",0.8193449334698055,0.8469805527123848,0.8244626407369499,0.8228366615463389,0.8233486943164362,0.8273946965563832,0.009941299871951687,766
0.27640576362609864,0.03470266723965059,0.021588850021362304,0.0007506311931582401,True,False,4.359323104723149,"{'columntransformer__num-preprocessor__with_mean': True, 'columntransformer__num-preprocessor__with_std': False, 'logisticregression__C': 4.359323104723149}",0.8203684749232344,0.8469805527123848,0.8259979529170931,0.8469022017409115,0.8279569892473119,0.8336412343081872,0.011141698315487837,597
0.27644925117492675,0.019990704806716976,0.026040410995483397,0.00475856849444905,False,False,0.017518979937539564,"{'columntransformer__num-preprocessor__with_mean': False, 'columntransformer__num-preprocessor__with_std': False, 'logisticregression__C': 0.017518979937539564}",0.834186284544524,0.8444216990788127,0.8398157625383829,0.8428059395801332,0.8361495135688684,0.8394758398621441,0.0038655006665677407,388
0.2882542133331299,0.032482743537559214,0.022718095779418947,0.0016580216627996639,False,False,0.14078621808726632,"{'columntransformer__num-preprocessor__with_mean': False, 'columntransformer__num-preprocessor__with_std': False, 'logisticregression__C': 0.14078621808726632}",0.8311156601842374,0.8500511770726714,0.8398157625383829,0.840757808499744,0.8376856118791602,0.8398852040348391,0.006096824968432095,366
0.21008477210998536,0.01847854439947404,0.02329244613647461,0.004519248714546384,False,True,0.04258020510183276,"{'columntransformer__num-preprocessor__with_mean': False, 'columntransformer__num-preprocessor__with_std': True, 'logisticregression__C': 0.04258020510183276}",0.8464687819856704,0.8510747185261003,0.8413510747185261,0.8535586277521762,0.8381976446492575,0.846130169526346,0.005753432243960881,282
0.27315340042114256,0.027608123607175315,0.02103290557861328,0.002280949908787058,True,False,0.17928976574043487,"{'columntransformer__num-preprocessor__with_mean': True, 'columntransformer__num-preprocessor__with_std': False, 'logisticregression__C': 0.17928976574043487}",0.8213920163766633,0.8480040941658137,0.8439099283520982,0.8238607270865336,0.833589349718382,0.8341512231398982,0.010546485017031674,580
0.27772016525268556,0.06580654663324338,0.021614742279052735,0.00235315672820923,False,False,0.13264404482849806,"{'columntransformer__num-preprocessor__with_mean': False, 'columntransformer__num-preprocessor__with_std': False, 'logisticregression__C': 0.13264404482849806}",0.8321392016376663,0.8449334698055271,0.8398157625383829,0.8402457757296466,0.8381976446492575,0.8390663708720961,0.004125913048886488,411
0.28919014930725095,0.05523163833081708,0.02215723991394043,0.0031560900744883377,False,False,4.398398171114818,"{'columntransformer__num-preprocessor__with_mean': False, 'columntransformer__num-preprocessor__with_std': False, 'logisticregression__C': 4.398398171114818}",0.8336745138178097,0.8485158648925282,0.8403275332650972,0.8433179723502304,0.8397337429595494,0.8411139254570431,0.004847982921955505,332
0.2848097324371338,0.033861893182772336,0.025148344039916993,0.004517943276712866,False,True,2.5846715920635814,"{'columntransformer__num-preprocessor__with_mean': False, 'columntransformer__num-preprocessor__with_std': True, 'logisticregression__C': 2.5846715920635814}",0.8444216990788127,0.853121801432958,0.8444216990788127,0.8561187916026626,0.8402457757296466,0.8476659533845785,0.0059552692684683725,46
0.29771862030029295,0.03466225965772047,0.024947547912597658,0.004331639191192235,True,False,1.9593540107530703,"{'columntransformer__num-preprocessor__with_mean': True, 'columntransformer__num-preprocessor__with_std': False, 'logisticregression__C': 1.9593540107530703}",0.827021494370522,0.8480040941658137,0.8382804503582395,0.8463901689708141,0.8315412186379928,0.8382474853006764,0.00815466351861502,465
